name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boston,2024-04-28,66.9,45,56,66.9,38.6,54.4,44.1,65.3,0.001,100,4.17,rain,0,0,29.8,15.9,216.6,1020.4,92.5,9.9,208,17.9,8,10,2024-04-28T05:42:51,2024-04-28T19:41:14,0.67,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-04-29,69.2,50.3,57.8,69.2,50.3,57.8,48.7,72.2,0,0,0,,0,0,23.3,18.1,95.5,1015.6,72.9,9.9,161.8,14,9,10,2024-04-29T05:41:27,2024-04-29T19:42:21,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-04-30,53.3,48,50.5,53.3,41.9,49,44.2,79.3,0.092,100,20.83,rain,0,0,22.4,18.1,94.8,1016.5,96.4,9.7,105,9.1,5,10,2024-04-30T05:40:05,2024-04-30T19:43:28,0.74,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-01,50.1,45.1,47.2,50.1,40.8,43.9,43,85.5,0.062,100,16.67,rain,0,0,14.8,11.2,73.6,1014.8,84.8,9.6,131.6,11.4,5,10,2024-05-01T05:38:45,2024-05-01T19:44:34,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-02,66.1,47,53.6,66.1,41,52,47.4,80.3,0.106,100,8.33,rain,0,0,30.6,19.5,143,1014.9,84.5,9.6,186.3,16.1,8,10,2024-05-02T05:37:25,2024-05-02T19:45:41,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-03,53.3,47.1,50,53.3,41,47.9,44.2,80.9,0,0,0,,0,0,22.8,14.7,65.7,1022.5,84.2,9.9,148.7,12.9,7,10,2024-05-03T05:36:07,2024-05-03T19:46:47,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-04,52.2,46.9,49.4,52.2,42,47.8,43.5,80.1,0,0,0,,0,0,21.3,13.8,84,1027.6,78,9.9,223.8,19.3,9,10,2024-05-04T05:34:50,2024-05-04T19:47:53,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-05,52.1,46.1,48.4,52.1,40.4,45.7,44.8,87.4,0.3,100,29.17,rain,0,0,17.9,15.8,129,1025.9,96.5,8.7,76.8,6.7,3,10,2024-05-05T05:33:34,2024-05-05T19:48:59,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-06,75.8,48.8,61.9,75.8,45.9,61.3,54.4,78.8,0.185,100,16.67,rain,0,0,19.7,11.3,220.2,1014.3,89.8,9.1,226.9,19.7,8,10,2024-05-06T05:32:20,2024-05-06T19:50:05,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-07,67.1,60,63.1,67.1,60,63.1,49.9,62.5,0,0,0,,0,0,20.8,13.6,75.9,1007.3,46.8,9.9,242.2,20.9,8,10,2024-05-07T05:31:07,2024-05-07T19:51:10,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-08,59,51.3,54.9,59,51.3,54.9,52.7,92.3,0.702,100,41.67,rain,0,0,25.3,11.3,69.8,1003.1,87.2,6.7,45.7,4,2,10,2024-05-08T05:29:55,2024-05-08T19:52:15,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-09,62.2,48.9,54.5,62.2,45,54.3,47.7,79.1,0,0,0,,0,0,24.1,14.7,31.1,1006.4,78.8,8.3,208.6,18.1,9,10,2024-05-09T05:28:45,2024-05-09T19:53:19,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
Boston,2024-05-10,54.1,47,49.9,54.1,43.2,47.7,41.2,72.3,0,0,0,,0,0,27.8,18.2,73.7,1010.3,76.3,9.9,220.7,19,8,10,2024-05-10T05:27:37,2024-05-10T19:54:23,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
