Measurement Time,Production (kWh)
11/13/2024 0:00,66.5
11/14/2024 0:00,64.7
11/15/2024 0:00,64.5
11/16/2024 0:00,59.4
11/17/2024 0:00,60.9
11/18/2024 0:00,51.9
11/19/2024 0:00,58.8
11/20/2024 0:00,56.9
11/21/2024 0:00,6.45
11/22/2024 0:00,51.6
11/23/2024 0:00,9.43
11/24/2024 0:00,54.4
11/25/2024 0:00,55.9
11/26/2024 0:00,9.01
11/27/2024 0:00,44.7
11/28/2024 0:00,3.16
11/29/2024 0:00,41.6
11/30/2024 0:00,54.3
12/1/2024 0:00,46.3
12/2/2024 0:00,52.7
12/3/2024 0:00,46
12/4/2024 0:00,51
12/5/2024 0:00,19.4
12/6/2024 0:00,53.8
12/7/2024 0:00,46.6
12/8/2024 0:00,31.2
12/9/2024 0:00,31.4
12/10/2024 0:00,6.69
12/11/2024 0:00,3.48
12/12/2024 0:00,43.5
12/13/2024 0:00,50.5
12/14/2024 0:00,50.6
12/15/2024 0:00,45.2
12/16/2024 0:00,18.9
12/17/2024 0:00,34
12/18/2024 0:00,45.9
12/19/2024 0:00,47
12/20/2024 0:00,0.06
12/21/2024 0:00,0
12/22/2024 0:00,0
12/23/2024 0:00,0
12/24/2024 0:00,0
12/25/2024 0:00,0
12/26/2024 0:00,0
12/27/2024 0:00,0
12/28/2024 0:00,0.25
12/29/2024 0:00,12.5
12/30/2024 0:00,0
12/31/2024 0:00,45.7
1/1/2025 0:00,8.54
1/2/2025 0:00,52.2
1/3/2025 0:00,46.3
1/4/2025 0:00,48.8
1/5/2025 0:00,26.4
1/6/2025 0:00,15.6
1/7/2025 0:00,39.5
1/8/2025 0:00,55.2
1/9/2025 0:00,38.7
1/10/2025 0:00,54.8
1/11/2025 0:00,0.45
1/12/2025 0:00,3.97
1/13/2025 0:00,16.9
1/14/2025 0:00,59.3
1/15/2025 0:00,59.3
1/16/2025 0:00,43.2
1/17/2025 0:00,53.7
1/18/2025 0:00,19.4
1/19/2025 0:00,46
1/20/2025 0:00,0.66
1/21/2025 0:00,0.61
1/22/2025 0:00,2.19
1/23/2025 0:00,2.81
1/24/2025 0:00,5.2
1/25/2025 0:00,24.8
1/26/2025 0:00,35.9
1/27/2025 0:00,62.3
1/28/2025 0:00,59.2
1/29/2025 0:00,26.7
1/30/2025 0:00,72.6
1/31/2025 0:00,9.87
2/1/2025 0:00,7.07
2/2/2025 0:00,44.4
2/3/2025 0:00,24.2
2/4/2025 0:00,66.1
2/5/2025 0:00,80.7
2/6/2025 0:00,1.02
2/7/2025 0:00,68.1
2/8/2025 0:00,65
2/9/2025 0:00,0.01
2/10/2025 0:00,0.1
2/11/2025 0:00,0.21
2/12/2025 0:00,0
2/13/2025 0:00,0.19
2/14/2025 0:00,27.6
2/15/2025 0:00,33.2
2/16/2025 0:00,0
2/17/2025 0:00,0.82
2/18/2025 0:00,1.16
2/19/2025 0:00,1.4
2/20/2025 0:00,0.73
2/21/2025 0:00,1.99
2/22/2025 0:00,9.37
2/23/2025 0:00,7.35
2/24/2025 0:00,42.8
2/25/2025 0:00,53.5
2/26/2025 0:00,83.4
2/27/2025 0:00,25.6
2/28/2025 0:00,96.8
3/1/2025 0:00,34.3
3/2/2025 0:00,111
3/3/2025 0:00,110
3/4/2025 0:00,78.5
3/5/2025 0:00,28.6
3/6/2025 0:00,31.4
3/7/2025 0:00,100
3/8/2025 0:00,92.5
3/9/2025 0:00,102
3/10/2025 0:00,103
3/11/2025 0:00,112
3/12/2025 0:00,107
3/13/2025 0:00,99.1
3/14/2025 0:00,108
3/15/2025 0:00,92.3
3/16/2025 0:00,48.5
3/17/2025 0:00,16.7
3/18/2025 0:00,83.1
3/19/2025 0:00,108
3/20/2025 0:00,49.6
3/21/2025 0:00,70.4
3/22/2025 0:00,115
3/23/2025 0:00,133
3/24/2025 0:00,8.31
3/25/2025 0:00,88.4
3/26/2025 0:00,71.9
3/27/2025 0:00,95.9
3/28/2025 0:00,109
3/29/2025 0:00,11.6
3/30/2025 0:00,36.1
3/31/2025 0:00,42.6
4/1/2025 0:00,124
4/2/2025 0:00,106
